Sample,SNPs,Total Sequences,Sequence length,%GC,avg_sequence_length,raw_total_sequences,reads_mapped,reads_unmapped,reads_paired,average_quality,reads_mapped_percent,reads_unmapped_percent,library_type,Mean depth,Collection,Collection.1,country of isolation,continent of isolation,United Nations Geographic Region,main_lineage,sub_lineage,DR_type,num_dr_variants,Curated lineage (SITVIT2),Spoligo Binary
DRR019435,1469,14286559,30-75,65,74.96913889481715,14275474,14184159,91315,14275474,35.0,99.36033647639299,0.6396635236069921,paired_end,235.7400000000009,PRJDB2911,DRP002451,Japan,Asia,East Asia,lineage2,lineage2.2.1,Other,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR019436,1479,11365575,30-75,64,74.97605030981714,11358782,11271517,87265,11358782,34.8,99.23173981153965,0.7682601884603473,paired_end,188.0000000000004,PRJDB2911,DRP002451,Japan,Asia,East Asia,lineage2,lineage2.2.1,Other,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR019437,1473,12095433,30-75,64,74.97470309661507,12087772,11986728,101044,12087772,34.8,99.16408085791159,0.8359191420883849,paired_end,199.6600000000006,PRJDB2911,DRP002451,Japan,Asia,East Asia,lineage2,lineage2.2.1,Pre-MDR,2,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR019438,1475,13331668,30-75,64,74.9734815628472,13322818,13213364,109454,13322818,35.2,99.17844708229146,0.8215529177085509,paired_end,219.2000000000009,PRJDB2911,DRP002451,Japan,Asia,East Asia,lineage2,lineage2.2.1,Other,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR019439,1467,11545226,30-75,64,74.97724713227788,11538666,11436288,102378,11538666,35.3,99.11273972225212,0.8872602777478783,paired_end,190.2900000000005,PRJDB2911,DRP002451,Japan,Asia,East Asia,lineage2,lineage2.2.1,Other,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR019440,1465,10872558,30-75,64,74.97512066617625,10865802,10779067,86735,10865802,35.3,99.20176163710696,0.7982383628930475,paired_end,179.0500000000004,PRJDB2911,DRP002451,Japan,Asia,East Asia,lineage2,lineage2.2.1,Other,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR019441,1477,6633525,30-75,65,70.97452862542916,6629018,6578807,50211,6629018,34.1,99.2425574949412,0.7574425050588186,paired_end,102.5999999999998,PRJDB2911,DRP002451,Japan,Asia,East Asia,lineage2,lineage2.2.1,Other,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR019442,1473,8808249,30-75,65,70.97605346987807,8802618,8740210,62408,8802618,34.0,99.29102910066074,0.7089708993392648,paired_end,135.3699999999997,PRJDB2911,DRP002451,Japan,Asia,East Asia,lineage2,lineage2.2.1,Other,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR019443,1480,12891205,30-75,64,74.97729413192948,12883884,12768655,115229,12883884,35.2,99.10563460521686,0.8943653947831259,paired_end,211.4400000000008,PRJDB2911,DRP002451,Japan,Asia,East Asia,lineage2,lineage2.2.1,Other,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR019444,1473,10975548,30-75,64,74.97757916051208,10969398,10874915,94483,10969398,35.2,99.13866740909573,0.8613325909042593,paired_end,180.8800000000004,PRJDB2911,DRP002451,Japan,Asia,East Asia,lineage2,lineage2.2.1,Other,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188463,1539,2776936,30-350,65,254.705996825278,2596418,2577721,18697,2596418,31.4,99.27989252886093,0.7201074711390847,paired_end,150.3199999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188464,1533,2142740,30-350,65,276.8442545525822,2021832,2006630,15202,2021832,30.7,99.24810765681818,0.7518923431818272,paired_end,126.5599999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188465,1530,2554169,30-350,65,278.2341372086186,2448076,2429818,18258,2448076,31.0,99.25418982090423,0.7458101790957471,paired_end,152.6399999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188466,1579,2727330,30-350,65,277.4255143308657,2609776,2588747,21029,2609776,30.8,99.1942220328488,0.8057779671512038,paired_end,161.79,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Other,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188467,476,2156304,30-350,65,281.153587805801,2064608,2052207,12401,2064608,30.7,99.39935329127852,0.6006467087214619,paired_end,130.69,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.9,Sensitive,0,T1,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
